gift_id,gift_type,gift_category,gift_cluster,instock_date,stock_update_date,lsg_1,lsg_2,lsg_3,lsg_4,lsg_5,lsg_6,uk_date1,uk_date2,is_discounted,volumes,price
GF_10613,1131,822,0,2014-10-23 02:02:10.000,2016-01-20 15:15:09.000,8100,6223,6381,1912,9,1836,2015-01-18 20:46:41.000,2015-01-16 09:51:36.657,0,,62.23
GF_10951,1050,886,0,2014-10-23 03:14:32.000,2016-04-08 12:52:36.000,7594,4448,5863,1912,9,688,2014-10-24 00:14:32.000,2014-10-22 04:25:00.003,0,,128.74
GF_2006,18,614,0,2014-10-23 22:31:24.000,2016-08-04 07:47:59.000,3488,4702,804,1912,9,1884,2014-10-27 01:31:24.000,2014-10-24 02:02:25.776,0,,172.26
GF_10616,1131,822,0,2014-10-24 02:02:10.000,2016-01-18 15:15:09.000,8100,6223,6381,1912,9,1836,2014-10-25 02:02:10.000,2014-10-25 02:31:43.419,0,,63.98
GF_10618,1131,822,0,2014-10-25 02:02:10.000,2016-01-19 12:15:09.000,8100,6223,6381,1912,9,1836,2015-12-06 05:21:59.000,2015-07-16 06:00:00.000,0,,59.34
GF_19942,497,822,0,2014-10-25 12:25:52.000,2016-08-02 13:45:08.000,4978,5255,2821,1912,9,150,2014-10-25 14:25:52.000,2014-10-25 04:02:26.756,1,,123.64
GF_19941,497,822,0,2014-10-25 15:25:52.000,2016-08-01 13:45:08.000,4978,5255,2821,1912,9,150,2014-10-25 14:25:52.000,2014-10-24 03:02:25.846,0,,126.86
GF_13199,1083,886,0,2014-10-25 21:12:48.000,2016-05-23 05:13:34.000,7638,6001,5491,1912,9,657,2014-10-24 19:12:48.000,2014-10-19 01:46:31.184,0,,29.59
GF_2005,18,614,0,2014-10-25 21:31:24.000,2016-08-05 06:47:59.000,3488,4702,804,1912,9,1884,2014-11-14 20:57:13.000,2014-11-11 16:24:24.561,0,,207.13
GF_13200,1083,886,0,2014-10-26 21:12:48.000,2016-05-22 06:13:34.000,7638,6001,5491,1912,9,657,2015-12-02 04:32:34.000,2015-10-11 01:00:00.000,0,,38.18
GF_2007,18,614,0,2014-10-26 23:31:24.000,2016-08-05 06:47:59.000,3488,4702,804,1912,9,1884,2016-05-29 20:03:32.000,2016-03-23 05:00:00.000,1,,80.13
GF_2008,18,614,0,2014-10-26 23:31:24.000,2016-08-06 09:47:59.000,3488,4702,804,1912,9,1884,2016-03-12 19:10:20.000,2016-03-16 02:00:00.000,0,,151.19
GF_10614,1131,822,0,2014-10-27 00:02:10.000,2016-01-20 15:15:09.000,8100,6223,6381,1912,9,1836,2015-01-19 18:46:41.000,2015-01-17 07:38:29.056,0,,62.68
GF_10617,1131,822,0,2014-10-27 01:02:10.000,2016-01-18 13:15:09.000,8100,6223,6381,1912,9,1836,2014-10-31 07:15:17.000,2014-10-27 08:37:28.635,0,,60.19
GF_14603,462,221,3718,2014-10-29 12:46:30.000,2017-04-02 12:39:15.000,4998,4805,2865,1912,10,1673,2014-10-30 10:46:30.000,2014-10-27 23:33:09.335,0,17.0,70.15
GF_14600,462,221,3718,2014-10-30 11:46:30.000,2017-04-03 13:39:15.000,4998,4805,2865,1912,9,1673,2017-03-01 04:37:55.000,2017-02-11 20:51:58.380,0,17.0,74.06
GF_14601,462,221,3718,2014-11-01 09:46:30.000,2017-04-02 15:39:15.000,4998,4805,2865,1912,9,1673,2017-03-06 19:41:54.000,2017-02-10 16:54:26.315,0,16.0,71.52
GF_14602,462,221,3718,2014-11-01 10:46:30.000,2017-04-04 14:39:15.000,4998,4805,2865,1912,10,1673,2016-11-06 10:43:38.000,2016-11-03 03:00:00.000,0,17.0,62.66
GF_2978,973,370,0,2014-11-01 11:30:23.000,2016-08-04 05:34:16.000,6948,4048,5463,1912,9,1899,2015-12-04 22:40:18.000,2015-12-01 02:00:00.000,0,,120.71
GF_2972,973,370,0,2014-11-01 11:30:23.000,2016-08-05 05:34:16.000,6948,4048,5463,1912,9,1899,2015-12-05 22:40:18.000,2015-11-01 05:00:00.000,0,,122.31
GF_13456,553,590,6910,2014-11-01 12:14:56.000,2017-04-04 16:41:43.000,5130,6701,8149,1912,9,1913,2016-03-30 22:39:53.000,2016-04-16 01:00:00.000,0,27.0,190.07
GF_2973,973,370,0,2014-11-01 12:30:23.000,2016-08-04 08:34:16.000,6948,4048,5463,1912,9,1899,2015-12-04 01:40:18.000,2016-01-20 04:00:00.000,0,,136.73
GF_2971,973,370,0,2014-11-01 13:30:23.000,2016-08-06 05:34:16.000,6948,4048,5463,1912,9,1899,2015-12-03 22:40:18.000,2015-10-25 03:00:00.000,0,,122.97
GF_13457,553,590,6910,2014-11-02 12:14:56.000,2017-04-04 16:41:43.000,5130,6701,8149,1912,1,1913,2016-01-25 08:15:00.000,2015-07-21 07:00:00.000,0,25.0,193.87
GF_2969,973,370,0,2014-11-02 12:30:23.000,2016-08-05 04:34:16.000,6948,4048,5463,1912,9,1899,2015-12-06 23:40:18.000,2015-06-27 07:00:00.000,0,,128.05
GF_2979,973,370,0,2014-11-02 13:30:23.000,2016-08-05 08:34:16.000,6948,4048,5463,1912,9,1899,2015-12-07 01:40:18.000,2015-10-07 05:00:00.000,0,,120.46
GF_13459,553,590,6910,2014-11-02 15:14:56.000,2017-04-04 16:41:43.000,5130,6701,8149,1912,9,1913,2017-04-01 15:41:43.000,2017-03-29 13:23:24.423,0,28.0,138.13
GF_8187,1248,180,0,2014-11-02 18:45:42.000,2016-07-24 02:10:48.000,8525,7481,7025,1912,9,1899,2014-10-31 14:45:42.000,2014-10-31 04:34:00.518,0,,8.94
GF_2977,973,370,0,2014-11-03 12:30:23.000,2016-08-06 04:34:16.000,6948,4048,5463,1912,9,1899,2015-12-04 00:40:18.000,2015-12-03 04:00:00.000,0,,112.73
GF_2967,973,370,0,2014-11-03 12:30:23.000,2016-08-06 05:34:16.000,6948,4048,5463,1912,9,1899,2014-11-03 14:30:23.000,2014-10-30 20:39:49.667,0,,126.89
GF_2968,973,370,0,2014-11-03 13:30:23.000,2016-08-06 05:34:16.000,6948,4048,5463,1912,9,1899,2015-12-04 23:40:18.000,2015-05-13 08:22:32.817,0,,134.68
GF_2970,973,370,0,2014-11-03 13:30:23.000,2016-08-06 06:34:16.000,6948,4048,5463,1912,9,1899,2015-12-06 01:40:18.000,2016-01-20 02:00:00.000,0,,128.05
GF_2980,973,370,0,2014-11-04 10:30:23.000,2016-08-05 05:34:16.000,6948,4048,5463,1912,9,1899,2015-12-06 02:40:18.000,2015-11-18 05:00:00.000,0,,134.55
GF_13458,553,590,6910,2014-11-04 12:14:56.000,2017-04-03 16:41:43.000,5130,6701,8149,1912,1,1913,2014-11-15 18:19:21.000,2014-11-11 11:33:48.050,0,28.0,197.0
GF_2966,973,370,0,2014-11-04 12:30:23.000,2016-08-06 05:34:16.000,6948,4048,5463,1912,9,1899,2014-11-05 13:30:23.000,2014-10-29 23:15:22.895,0,,114.31
GF_2976,973,370,0,2014-11-04 13:30:23.000,2016-08-04 05:34:16.000,6948,4048,5463,1912,9,1899,2015-12-05 23:40:18.000,2015-11-28 05:00:00.000,0,,134.03
GF_2975,973,370,0,2014-11-05 11:30:23.000,2016-08-05 07:34:16.000,6948,4048,5463,1912,9,1899,2015-12-03 22:40:18.000,2015-10-22 02:00:00.000,0,,122.79
GF_2974,973,370,0,2014-11-05 13:30:23.000,2016-08-05 08:34:16.000,6948,4048,5463,1912,9,1899,2015-12-07 00:40:18.000,2015-07-21 10:00:00.000,0,,137.92
GF_13791,973,282,2692,2014-11-08 16:20:39.000,2017-04-02 12:41:48.000,6889,4094,5455,411,9,290,2017-03-29 16:41:48.000,2017-03-26 15:26:19.198,0,15.0,104.72
GF_13646,553,590,6868,2014-11-08 17:15:45.000,2017-04-03 12:45:05.000,5132,6699,3048,1834,9,1645,2017-03-29 14:45:05.000,2017-03-27 18:53:21.446,0,29.0,153.12
GF_13639,553,590,6868,2014-11-08 18:15:45.000,2017-04-04 13:45:05.000,5132,6699,3048,1730,9,1645,2017-04-01 15:45:05.000,2017-03-29 15:53:21.446,0,29.0,147.53
GF_13650,553,590,6868,2014-11-08 20:15:45.000,2017-04-04 16:45:05.000,5132,6699,3048,1891,9,1645,2017-03-29 12:45:05.000,2017-03-27 15:53:21.446,0,27.0,128.46
GF_13647,553,590,6868,2014-11-08 21:15:45.000,2017-04-03 12:45:05.000,5132,6699,3048,1849,9,1645,2017-04-02 13:45:05.000,2017-03-28 19:53:21.446,0,27.0,157.38
GF_13790,973,282,2692,2014-11-09 13:20:39.000,2017-04-03 13:41:48.000,6889,4094,5455,410,9,290,2017-04-02 16:41:48.000,2017-03-29 14:26:19.198,0,19.0,113.2
GF_13794,973,282,2692,2014-11-09 16:20:39.000,2017-04-02 15:41:48.000,6889,4094,5455,415,9,290,2017-04-02 15:41:48.000,2017-03-28 14:26:19.198,0,16.0,98.92
GF_13648,553,590,6868,2014-11-09 17:15:45.000,2017-04-03 15:45:05.000,5132,6699,3048,1863,9,1645,2017-04-02 16:45:05.000,2017-03-29 19:53:21.446,0,27.0,143.26
GF_13638,553,590,6868,2014-11-09 20:15:45.000,2017-04-02 12:45:05.000,5132,6699,3048,1709,9,1645,2017-03-31 13:45:05.000,2017-03-27 18:53:21.446,0,25.0,146.99
GF_13642,553,590,6868,2014-11-09 20:15:45.000,2017-04-03 15:45:05.000,5132,6699,3048,1776,9,1645,2017-04-02 12:45:05.000,2017-03-26 19:53:21.446,0,27.0,129.36
GF_13649,553,590,6868,2014-11-09 21:15:45.000,2017-04-03 14:45:05.000,5132,6699,3048,1877,9,1645,2017-04-02 15:45:05.000,2017-03-26 18:53:21.446,0,27.0,132.42
GF_13799,973,282,2692,2014-11-10 13:20:39.000,2017-04-03 14:41:48.000,6889,4094,5455,406,9,290,2014-11-12 16:20:39.000,2014-11-08 02:01:30.753,0,19.0,110.75
GF_13789,973,282,2692,2014-11-10 15:20:39.000,2017-04-02 14:41:48.000,6889,4094,5455,409,9,290,2017-03-29 14:41:48.000,2017-03-30 14:26:19.198,0,16.0,108.22
GF_13795,973,282,2692,2014-11-10 15:20:39.000,2017-04-02 16:41:48.000,6889,4094,5455,424,9,290,2017-03-29 15:41:48.000,2017-03-28 14:26:19.198,0,16.0,110.77
GF_13637,553,590,6868,2014-11-10 17:15:45.000,2017-04-04 12:45:05.000,5132,6699,3048,1891,9,1645,2016-03-29 23:54:51.000,2016-04-16 05:00:00.000,0,27.0,137.34
GF_13634,553,590,6868,2014-11-10 17:15:45.000,2017-04-04 13:45:05.000,5132,6699,3048,1891,9,1645,2014-11-08 21:15:45.000,2014-10-28 05:37:10.550,0,27.0,181.54
GF_21638,462,223,200,2014-11-10 17:41:19.000,2017-04-02 14:39:15.000,4994,3292,2864,409,9,548,2017-03-04 21:41:53.000,2017-02-13 16:50:07.673,0,7.0,119.27
GF_21641,462,223,200,2014-11-10 18:41:19.000,2017-04-02 15:39:15.000,4994,3292,2864,409,9,548,2014-11-12 16:41:19.000,2014-10-31 03:44:18.860,0,9.0,105.04
GF_13636,553,590,6868,2014-11-10 19:15:45.000,2017-04-02 15:45:05.000,5132,6699,3048,1891,9,1645,2014-11-08 20:15:45.000,2014-11-08 06:53:53.888,0,25.0,179.35
GF_13651,553,590,6868,2014-11-10 19:15:45.000,2017-04-03 12:45:05.000,5132,6699,3048,1891,9,1645,2017-03-08 18:42:23.000,2017-02-17 11:23:12.524,0,27.0,157.84
GF_13640,553,590,6868,2014-11-10 20:15:45.000,2017-04-03 13:45:05.000,5132,6699,3048,1768,9,1645,2017-04-02 16:45:05.000,2017-03-27 18:53:21.446,0,27.0,146.55
GF_13643,553,590,6868,2014-11-10 21:15:45.000,2017-04-02 12:45:05.000,5132,6699,3048,1791,9,1645,2017-04-02 13:45:05.000,2017-03-27 19:53:21.446,0,25.0,148.98
GF_13641,553,590,6868,2014-11-10 21:15:45.000,2017-04-04 15:45:05.000,5132,6699,3048,1773,9,1645,2017-03-29 14:45:05.000,2017-03-28 18:53:21.446,0,27.0,135.24
GF_13797,973,282,2692,2014-11-11 14:20:39.000,2017-04-02 16:41:48.000,6889,4094,5455,406,9,290,2015-09-24 13:26:48.000,2015-09-24 01:00:00.000,0,16.0,95.06
GF_13798,973,282,2692,2014-11-11 15:20:39.000,2017-04-04 16:41:48.000,6889,4094,5455,406,9,290,2014-12-06 11:24:17.000,2014-12-05 01:23:02.999,0,15.0,103.55
GF_13796,973,282,2692,2014-11-11 16:20:39.000,2017-04-04 13:41:48.000,6889,4094,5455,429,9,290,2017-04-01 14:41:48.000,2017-03-28 14:26:19.198,0,19.0,111.0
GF_13633,553,590,6868,2014-11-11 17:15:45.000,2017-04-02 14:45:05.000,5132,6699,3048,1891,1,1645,2015-08-17 20:11:40.000,2015-07-21 06:00:00.000,0,26.0,198.25
GF_21639,462,223,200,2014-11-11 19:41:19.000,2017-04-03 14:39:15.000,4994,3292,2864,409,9,548,2014-11-09 16:41:19.000,2014-10-22 01:03:35.492,0,6.0,104.24
GF_13645,553,590,6868,2014-11-11 20:15:45.000,2017-04-02 12:45:05.000,5132,6699,3048,1820,9,1645,2017-04-02 14:45:05.000,2017-03-27 18:53:21.446,0,29.0,147.59
GF_13635,553,590,6868,2014-11-11 21:15:45.000,2017-04-04 16:45:05.000,5132,6699,3048,1891,9,1645,2014-11-08 19:15:45.000,2014-10-31 07:45:21.318,0,29.0,196.32
GF_13793,973,282,2692,2014-11-12 13:20:39.000,2017-04-04 12:41:48.000,6889,4094,5455,413,9,290,2017-03-29 15:41:48.000,2017-03-29 14:26:19.198,0,15.0,112.19
GF_13792,973,282,2692,2014-11-12 14:20:39.000,2017-04-04 13:41:48.000,6889,4094,5455,412,9,290,2017-03-30 15:41:48.000,2017-03-27 12:26:19.198,0,16.0,108.96
GF_21637,462,223,200,2014-11-12 18:41:19.000,2017-04-04 14:39:15.000,4994,3292,2864,409,9,548,2017-03-29 15:39:15.000,2017-03-27 08:57:10.696,0,7.0,121.66
GF_21640,462,223,200,2014-11-12 19:41:19.000,2017-04-02 16:39:15.000,4994,3292,2864,409,9,548,2014-11-08 20:41:19.000,2014-11-10 01:07:00.868,0,10.0,96.81
GF_13644,553,590,6868,2014-11-12 20:15:45.000,2017-04-03 15:45:05.000,5132,6699,3048,1806,9,1645,2017-03-30 14:45:05.000,2017-03-28 15:53:21.446,0,28.0,140.87
GF_12870,1282,38,0,2014-12-06 14:25:52.000,2016-08-04 09:25:20.000,8697,3619,3740,1912,9,254,2016-07-17 20:55:20.000,2015-11-10 05:00:00.000,0,,97.25
GF_12872,1282,38,0,2014-12-06 15:25:52.000,2016-08-05 05:25:20.000,8697,3619,3740,1912,9,254,2014-12-08 12:25:52.000,2014-12-09 14:59:51.694,0,,105.22
GF_12871,1282,38,0,2014-12-08 12:25:52.000,2016-08-05 07:25:20.000,8697,3619,3740,1912,9,254,2016-07-15 23:55:20.000,2016-05-16 03:00:00.000,0,,94.93
GF_18668,1133,450,5085,2015-01-17 15:23:43.000,2017-04-04 15:44:28.000,8104,1502,8815,1767,9,978,2017-03-30 16:44:28.000,2017-03-30 16:04:51.590,0,27.0,99.04
GF_18672,1133,450,5085,2015-01-18 14:23:43.000,2017-04-03 12:44:28.000,8104,1502,8815,1873,9,978,2017-04-01 16:44:28.000,2017-03-30 18:04:51.590,0,25.0,82.77
GF_18665,1133,450,5085,2015-01-18 15:23:43.000,2017-04-03 15:44:28.000,8104,1502,8815,1873,9,978,2017-03-10 17:43:19.000,2017-02-15 15:08:06.436,0,27.0,112.13
GF_18670,1133,450,5085,2015-01-18 15:23:43.000,2017-04-04 12:44:28.000,8104,1502,8815,1816,9,978,2017-03-30 16:44:28.000,2017-03-29 17:04:51.590,0,27.0,87.58
GF_20777,996,627,0,2015-01-18 15:41:23.000,2016-07-26 17:24:58.000,7327,5795,5588,1912,9,2047,2015-10-04 20:15:32.000,2015-06-28 06:00:00.000,0,,73.91
GF_20779,996,627,0,2015-01-18 16:41:23.000,2016-07-26 17:24:58.000,7327,5795,5588,1912,9,2047,2015-10-06 21:15:32.000,2015-08-19 03:00:00.000,0,,68.39
GF_20778,996,627,0,2015-01-18 18:41:23.000,2016-07-26 18:24:58.000,7327,5795,5588,1912,9,2047,2015-11-12 06:22:57.000,2015-10-23 02:00:00.000,0,,82.41
GF_20780,996,627,0,2015-01-18 19:41:23.000,2016-07-26 19:24:58.000,7327,5795,5588,1912,9,2047,2015-01-18 17:41:23.000,2015-01-13 22:37:29.265,0,,63.6
GF_11073,196,281,0,2015-01-18 20:07:29.000,2016-08-04 23:42:45.000,3941,3609,1419,1912,9,1399,2015-01-19 21:07:29.000,2015-01-20 05:48:18.433,0,,51.58
GF_18667,1133,450,5085,2015-01-19 17:23:43.000,2017-04-04 15:44:28.000,8104,1502,8815,1726,9,978,2017-03-30 13:44:28.000,2017-03-29 16:04:51.590,0,28.0,86.32
GF_18671,1133,450,5085,2015-01-21 13:23:43.000,2017-04-04 13:44:28.000,8104,1502,8815,1845,9,978,2017-04-02 13:44:28.000,2017-03-29 15:04:51.590,0,24.0,91.09
GF_18669,1133,450,5085,2015-01-21 16:23:43.000,2017-04-02 12:44:28.000,8104,1502,8815,1786,9,978,2017-03-30 16:44:28.000,2017-03-28 19:04:51.590,0,24.0,94.77
GF_18666,1133,450,5085,2015-01-21 17:23:43.000,2017-04-04 16:44:28.000,8104,1502,8815,1705,9,978,2017-04-02 13:44:28.000,2017-03-28 17:04:51.590,0,27.0,90.45
GF_752,896,885,0,2015-01-28 18:24:18.000,2016-08-05 03:37:54.000,6539,2158,4983,1912,9,757,2015-12-05 03:41:58.000,2015-04-17 04:36:56.601,0,,160.63
GF_754,896,885,0,2015-01-29 17:24:18.000,2016-08-03 23:37:54.000,6539,2158,4983,1912,9,757,2015-11-07 03:58:11.000,2015-02-10 05:54:35.809,0,,180.57
GF_751,896,885,0,2015-01-29 19:24:18.000,2016-08-04 03:37:54.000,6539,2158,4983,1912,9,757,2015-12-07 04:41:58.000,2015-04-22 18:27:57.545,0,,196.51
GF_753,896,885,0,2015-01-29 20:24:18.000,2016-08-04 03:37:54.000,6539,2158,4983,1912,9,757,2015-11-03 23:58:11.000,2015-02-23 02:53:19.491,0,,397.78
GF_755,896,885,0,2015-01-30 18:24:18.000,2016-08-04 00:37:54.000,6539,2158,4983,1912,9,757,2015-12-04 03:41:58.000,2015-10-10 05:00:00.000,0,,150.4
GF_750,896,885,0,2015-01-30 20:24:18.000,2016-08-04 01:37:54.000,6539,2158,4983,1912,9,757,2015-12-05 05:41:58.000,2015-03-14 12:30:01.165,0,,409.02
GF_756,896,885,0,2015-01-31 17:24:18.000,2016-08-04 02:37:54.000,6539,2158,4983,1912,9,757,2015-12-03 03:41:58.000,2015-11-07 05:00:00.000,0,,168.88
GF_2106,1173,445,7072,2015-02-07 13:09:26.000,2016-11-17 12:25:22.000,2595,157,6869,1912,10,630,2015-11-14 16:54:33.000,2015-11-09 03:00:00.000,0,,95.28
GF_19374,1050,43,0,2015-02-07 13:15:21.000,2016-04-11 07:45:08.000,7601,6436,5865,1912,9,1899,2015-11-07 01:49:40.000,2015-03-01 00:42:05.940,0,,86.62
GF_2119,1173,445,7072,2015-02-07 14:09:26.000,2016-11-15 13:25:22.000,2595,157,6869,1912,10,630,2016-02-10 23:35:54.000,2015-05-03 20:59:55.632,0,,82.69
GF_2111,1173,445,7072,2015-02-07 14:09:26.000,2016-11-16 11:25:22.000,2595,157,6869,1912,10,630,2016-02-09 22:35:54.000,2015-04-04 05:03:10.921,0,,74.15
GF_2117,1173,445,7072,2015-02-07 14:09:26.000,2016-11-16 13:25:22.000,2595,157,6869,1912,10,630,2016-02-13 00:35:54.000,2015-05-05 22:32:22.404,0,,74.12
GF_2112,1173,445,7072,2015-02-07 15:09:26.000,2016-11-16 10:25:22.000,2595,157,6869,1912,10,630,2016-02-13 00:35:54.000,2015-04-07 22:32:53.746,0,,69.82
GF_2126,1173,445,7072,2015-02-07 16:09:26.000,2016-11-16 10:25:22.000,2595,157,6869,1912,10,630,2016-11-06 10:42:32.000,2016-11-04 02:00:00.000,0,,42.4
GF_2108,1173,445,7072,2015-02-07 16:09:26.000,2016-11-17 14:25:22.000,2595,157,6869,1912,10,630,2016-02-10 23:35:54.000,2015-03-16 18:12:30.073,0,,79.78
GF_19373,1050,43,0,2015-02-07 16:15:21.000,2016-04-11 05:45:08.000,7601,6436,5865,1912,9,1899,2015-12-05 04:44:54.000,2015-09-23 04:00:00.000,0,,93.87
GF_19381,1050,43,0,2015-02-07 16:15:21.000,2016-04-12 05:45:08.000,7601,6436,5865,1912,9,1899,2015-12-07 03:44:54.000,2015-06-26 08:00:00.000,0,,84.69
GF_19367,1050,43,0,2015-02-07 16:15:21.000,2016-04-12 06:45:08.000,7601,6436,5865,1912,9,1899,2015-12-06 04:44:54.000,2015-09-01 03:00:00.000,0,,97.57
GF_19384,1050,43,0,2015-02-07 17:15:21.000,2016-04-11 06:45:08.000,7601,6436,5865,1912,9,1899,2015-12-07 02:44:54.000,2015-07-10 06:00:00.000,0,,83.8
GF_19375,1050,43,0,2015-02-07 17:15:21.000,2016-04-11 07:45:08.000,7601,6436,5865,1912,9,1899,2015-12-04 05:44:54.000,2015-11-10 05:00:00.000,0,,108.46
GF_19391,1050,43,0,2015-02-07 17:15:21.000,2016-04-13 07:45:08.000,7601,6436,5865,1912,9,1899,2015-12-05 05:44:54.000,2015-07-19 08:00:00.000,0,,88.68
GF_2125,1173,445,7072,2015-02-08 13:09:26.000,2016-11-15 12:25:22.000,2595,157,6869,1912,10,630,2016-02-11 00:35:54.000,2015-08-18 02:00:00.000,0,,80.06
GF_19372,1050,43,0,2015-02-08 13:15:21.000,2016-04-13 08:45:08.000,7601,6436,5865,1912,9,1899,2015-12-03 05:44:54.000,2015-09-16 02:00:00.000,0,,88.44
GF_2114,1173,445,7072,2015-02-08 14:09:26.000,2016-11-15 13:25:22.000,2595,157,6869,1912,10,630,2015-11-11 20:54:33.000,2015-11-06 01:00:00.000,0,,87.28
GF_2123,1173,445,7072,2015-02-08 14:09:26.000,2016-11-17 10:25:22.000,2595,157,6869,1912,10,630,2016-02-12 00:35:54.000,2015-07-23 07:00:00.000,0,,88.01
GF_19390,1050,43,0,2015-02-08 16:15:21.000,2016-04-12 07:45:08.000,7601,6436,5865,1912,9,1899,2015-12-06 03:44:54.000,2015-07-22 06:00:00.000,0,,84.95
GF_2113,1173,445,7072,2015-02-08 17:09:26.000,2016-11-15 12:25:22.000,2595,157,6869,1912,10,630,2015-11-14 17:54:33.000,2015-11-09 02:00:00.000,0,,86.62
GF_19370,1050,43,0,2015-02-08 17:15:21.000,2016-04-11 09:45:08.000,7601,6436,5865,1912,9,1899,2015-12-04 05:44:54.000,2015-09-11 05:00:00.000,0,,95.21
GF_19378,1050,43,0,2015-02-08 17:15:21.000,2016-04-12 05:45:08.000,7601,6436,5865,1912,9,1899,2015-12-04 05:44:54.000,2015-06-22 07:00:00.000,0,,88.57
GF_19389,1050,43,0,2015-02-08 17:15:21.000,2016-04-12 09:45:08.000,7601,6436,5865,1912,9,1899,2015-12-07 03:44:54.000,2015-07-16 10:00:00.000,0,,99.59
GF_867,863,23,389,2015-02-08 19:28:38.000,2016-05-10 19:36:36.000,6147,3771,4420,1912,9,150,2015-02-06 20:28:38.000,2015-02-02 03:11:46.571,0,,626.75
GF_2116,1173,445,7072,2015-02-09 13:09:26.000,2016-11-17 11:25:22.000,2595,157,6869,1912,10,630,2015-02-09 13:09:26.000,2015-02-10 01:03:23.094,0,,96.71
